id,lat,lon,name,street,postcode,brand
336412550,51.5514471,-0.09959,Oasis in the Park,,,
338505172,51.5156884,-0.111853,Costa,,,Costa
338507313,51.5178134,-0.1193869,Caffè Nero,High Holborn,WC1V 6QL,Caffè Nero
338507320,51.5175712,-0.1200835,Costa,High Holborn,WC1V 7DZ,Costa
338507461,51.5160246,-0.1190342,Guido's,Kingsway,,
338507462,51.516089,-0.119735,Caffè Nero,Kingsway,WC2B 6SR,Caffè Nero
338507482,51.51825,-0.120913,Espresso House,,,
339863099,51.5462673,-0.1011388,Sawyer & Gray,St Paul's Road,N1 2LH,
340130640,51.5338257,0.0597155,Friendly Cafe,Barking Road,E6 2LN,
343588074,51.5655171,-0.1077767,Gadz,,,
343588092,51.5657342,-0.1067122,The Arch Cafe,,,
344791685,51.5613167,-0.1124838,One Way Cafe,,,
344868976,51.4775336,-0.2104769,Olive,,,
344871610,51.4786408,-0.2113074,Cafe Plum,,,
344875222,51.5560511,-0.0982362,One root bakery,,,
345529554,51.3313237,0.0535218,Down House Tearoom,Luxted Road,BR6 7JT,
345873723,51.4957701,-0.1152559,The Corner Cafe,,,
347542399,51.5181847,-0.0776879,Jen Tea,Artillery Passage,E1 7LJ,
348116247,51.5479589,-0.1064898,BBH,,,
348116254,51.5482419,-0.1069032,The Hope,Holloway Road,N7 8LT,
348116257,51.5481202,-0.1067398,Vagabond N7,Holloway Road,,
348713913,51.5344524,-0.1053506,Ding Tea,,,Ding Tea
348871686,51.5114642,-0.1327974,Caffè Concerto,Shaftesbury Avenue,,
352933507,51.5395529,-0.1018052,Chameleon,Cross Street,,
353912647,51.567772,-0.1224501,Deti's Deli Cafe,,,
353912652,51.5672097,-0.1223257,Hamlet Cafe,Hornsey Road,,
355199574,51.549276,-0.1082337,Morsi & Co.,,,
356989639,51.5229959,0.0224192,Vongs Kitchen,Balaam Street,E13 8EB,
356990299,51.5222927,0.0219961,Britannia,Barking Road,E13 8EE,
360309846,51.5465873,-0.1042104,Temptations,Highbury Corner,N5 1RA,
362315101,51.549446,-0.108437,Master Chef Cafe,,,
362359480,51.5500543,-0.1078,Le Péché Mignon,Ronalds Road,N5 1XH,
364548403,51.5462478,-0.1023635,314,,,
364783971,51.5459051,-0.1019576,Cafe Vertige,Canonbury Road,N1 2UP,
364783976,51.5460255,-0.1016413,Urban Café and Bistro,,,
366238747,51.6193912,-0.1617116,Unknown,,,
369119283,51.5147588,-0.0790785,Chaplins Deli,,,
369119293,51.5134548,-0.0798417,Caffè Nero,Leadenhall Street,EC3A 3BP,Caffè Nero
369859307,51.5654055,-0.0728654,Stop Over,Station Approach,,
369879091,51.5623969,-0.0733518,Leo's Cafe,Stoke Newington High Street,N16 7JD,
369879099,51.5620251,-0.073451,Moio,Stoke Newington High Street,N16 7JD,
369879710,51.5615071,-0.0735622,The Haberdashery,Stoke Newington High Street,N16 7JL,
369975055,51.5595994,-0.073915,Coffee Break & Restaurant,Stoke Newington High Street,N16 7NY,
371050202,51.5149955,-0.1240197,The Poetry Cafe,,,
372519553,51.5134023,-0.1312004,Bar Italia,Frith Street,,
374318072,51.5620603,-0.0754513,Banh Mi Etc,Stoke Newington Church Street,N16 0NX,
376836425,51.4445927,-0.3403162,Liv's Telecafe,The Green,,
379033843,51.5261978,-0.0879786,Starbucks,,,Starbucks
379822516,51.476668,-0.13046,Ponto de Encontro,Wandsworth Road,SW8 2LA,
379822519,51.476732,-0.13042,Berlengas,,,
379822542,51.4746123,-0.1324402,Chinese Pantry,Wandsworth Road,SW8 2JJ,
379822556,51.4740661,-0.1330385,Unknown,,,
379822559,51.471749,-0.135588,Os Golfinhos,,,
379822581,51.4706364,-0.1382787,Solneve Cafe,,,
379822583,51.4708182,-0.1382967,Savoy Cafe,,,
379822588,51.4704996,-0.1390395,Uncle Tom's Cabin,Wandsworth Road,SW8 4PH,
385417913,51.5574006,-0.098027,Cafe N5,Highbury Park,,
385417915,51.5573451,-0.0979895,Franks,Highbury Park,,
385560825,51.4980972,-0.1444736,English Rose,,,
385560831,51.4990311,-0.1428822,Le Signore,Palace Street,SW1E 5HY,
385560837,51.4949639,-0.1270355,Ravello,Horseferry Road,SW1P 2AF,
388111146,51.5252013,-0.1281271,Starbucks,Tavistock Square,WC1H 9LT,Starbucks
388116719,51.516674,-0.129274,Starbucks,,,Starbucks
389031673,51.4075972,-0.0276522,Caffè Nero,High Street,BR3 1EW,Caffè Nero
389031691,51.4066465,-0.0287369,Costa,High Street,BR3 1EN,Costa
389899516,51.5635438,-0.1280524,The Battenberg Badger,Holloway Road,,
389899598,51.5580251,-0.1319987,flavours,,,
389942149,51.5539633,-0.1135166,Café Euro,,,
390073204,51.5195292,-0.093295,Barbican Kitchen,Silk Street,EC2Y 8DS,
390556692,51.5348494,-0.0986195,Rheidol Rooms,,,
392032824,51.5478543,-0.1911448,Costa,West End Lane,NW6 2LJ,Costa
392032917,51.5478058,-0.1911542,Starbucks,,,Starbucks
392672511,51.5702682,-0.1145975,Granary Thai Cafe,Stroud Green Road,,
392672517,51.5699774,-0.1139742,The Blue Owl,Stroud Green Road,,
393464348,51.5687314,-0.1112466,Brick & Olive,Stroud Green Road,N4 3PX,
393876938,51.6637739,-0.0944736,The Coffee Hut,,,
401529136,51.5128913,-0.1286937,Purcha,,,
401529157,51.5143608,-0.1294674,Snack Bar & Café,Charing Cross Road,,
401529164,51.5153653,-0.129944,Blank Street Coffee,Charing Cross Road,WC2H 0LA,Blank Street Coffee
408119813,51.5365501,-0.1915057,Starbucks,,,Starbucks
410936534,51.5570402,-0.2159586,Pedros Cafe & Restaurant,,,
410936573,51.5566554,-0.2154952,Costa,,,Costa
410952451,51.555567,-0.2136999,Broadway Cafe Restaurant,,,
410952481,51.5553007,-0.2133416,Café Margoum,,,
411096518,51.5542779,-0.2122005,Nur Cafe,Cricklewood Broadway,,
411115274,51.5533653,-0.2117082,Cafe Guzel,Cricklewood Broadway,,
411115295,51.5532454,-0.2110769,Momtaz Shisha Cafe,Cricklewood Broadway,,
418799862,51.4898192,-0.1352027,Pimlico BBQ and Cafe,,,
420293949,51.4768606,-0.0600452,Andy’s Cafe,Meeting House Lane,,
420293952,51.4768178,-0.0602426,Jamrock Café,Meeting House Lane,,
420293965,51.4837989,-0.0535307,Ilderton Cafe,Ilderton Road,SE15 1NS,
420300532,51.4056331,0.0151641,Costa,Market Square,BR1 1NF,Costa
420738683,51.4036697,0.0149474,Cuppa Chaii,High Street,BR1 1HG,
420777405,51.4054013,0.0149408,Stonehenge Cafe,High Street,BR1 1NJ,
420783176,51.4031442,0.0154597,Black Sheep Coffee,High Street,BR1 1JW,Black Sheep Coffee
420786892,51.4021307,0.0149778,the light,Ethelbert Road,BR1 1HU,
423598119,51.4966026,-0.0883479,Bad Moon Cafe,Great Dover Street,SE1 4GZ,
425164592,51.530747,-0.1192818,Coffee-Uni,,,
425720564,51.5319837,-0.1222953,Costa,York Way,N1 9AA,Costa
425720647,51.5365629,-0.1218822,Cafe Express,York Way,N1 0AX,
425720656,51.5367306,-0.1218949,Venezia Cafe,York Way,N1 0AX,
427539145,51.5308959,-0.1221137,Blank Street Coffee,Pentonville Road,N1 9NR,Blank Street Coffee
427571064,51.5334016,-0.1190561,Sunrise Cafe,,,
428964038,51.4940844,-0.1513535,Unknown,,SW1W 9PB,
429187267,51.5765301,-0.0976654,Costa,,,Costa
430435466,51.529372,-0.1203346,Aux Pains de Papy,Gray's Inn Road,WC1X 8QF,
430435515,51.5296591,-0.1205585,Cappadocia,Gray's Inn Road,WC1X 8QF,
430437717,51.5302672,-0.1211104,Cafe Plaka,,,
442973102,51.5026285,-0.1079845,Caffè Nero,The Cut,SE1 8LL,Caffè Nero
443029946,51.4934413,-0.1503154,TomTom Coffee House,Ebury Street,SW1W 9QD,
443404595,51.4916626,-0.1580309,The Black Penny,Duke of York Square,SW3 4LY,
443418105,51.5320877,-0.0344133,Hiland,Roman Road,E3 5LX,
445685420,51.4909415,-0.1613428,Coffee by Real Eating Co,King’s Road,SW3 4TZ,
448750299,51.5627213,0.2177878,Costa,High Street,RM12 4UH,Costa
452149625,51.5142471,-0.1596019,Coffee by Real Eating Co,Great Cumberland Place,W1H 7AS,
456065300,51.4073643,-0.0279273,High Street Café,High Street,BR3 1EW,
456065312,51.4068673,-0.0282201,Munch,,,
456213965,51.5102976,-0.1391473,Starbucks,Vigo Street,W1S 3HF,Starbucks
456277408,51.5106844,-0.1421362,Morris’s,Clifford Street,W1S 4JZ,
456384023,51.4070103,-0.0277819,Maria's,High Street,BR3 1AG,
456384028,51.4065691,-0.0282488,Paloma,High Street,BR3 1AG,
456389170,51.4094761,-0.0253859,Le Traiteur,High Street,BR3 1AY,
456718344,51.5112419,-0.1413145,Nkora,Old Burlington Street,W1S 2JR,
457131524,51.5898027,-0.2229654,Shoki Shakes,,,
457138699,51.5900442,-0.2230978,Tonys Cafe,,,
457138983,51.5900509,-0.2232265,MunCHizz,,,
457906283,51.5084004,-0.2601834,Acton Park Cafe,,,
459654598,51.6015731,-0.1118266,Cafe Blossom,,,
459654600,51.6014736,-0.1117815,London,,,
459786532,51.5979425,-0.1102767,Nest Café,,,
462025210,51.5133351,-0.1501507,Deliciously Ella,Weighhouse Street,,
462025234,51.5130973,-0.1506616,H.R. Higgins (Coffee-man) Ltd.,Duke Street,W1K 5AS,
462593318,51.4646226,-0.0367765,The Broca,Coulgate Street,SE4 2RW,
467699596,51.5996939,-0.1471222,Holybella,Colney Hatch Lane,N10 1ER,
469077021,51.5653998,-0.482381,Fran's Tea Room,,,
469446873,51.5203041,0.0186562,Candy Crush Desserts,Barking Road,E13 8HR,
